index,job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd
0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000050) needs to be non-negative\n\n,Error.GmxError,1.198,0.118376,run_6/f-603/ixs-178-180/single/frame-97
10,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,triple,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000163) needs to be non-negative\n\n,Error.GmxError,1.798,0.128957,run_6/f-603/ixs-178-180/triple/frame-98
20,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,single,95,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000206) needs to be non-negative\n\n,Error.GmxError,1.198,0.138138,run_6/f-603/ixs-276-278/single/frame-95
30,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,276,278,triple,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000251) needs to be non-negative\n\n,Error.GmxError,1.944,0.124444,run_6/f-603/ixs-276-278/triple/frame-98
40,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,single,93,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000210) needs to be non-negative\n\n,Error.GmxError,1.398,0.138277,run_6/f-603/ixs-1473-1475/single/frame-93
50,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1473,1475,triple,93,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000082) needs to be non-negative\n\n,Error.GmxError,1.945,0.128568,run_6/f-603/ixs-1473-1475/triple/frame-93
60,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000285) needs to be non-negative\n\n,Error.GmxError,1.698,0.13806,run_6/f-603/ixs-802-804/single/frame-97
70,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,99,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000246) needs to be non-negative\n\n,Error.GmxError,1.598,0.129721,run_6/f-603/ixs-802-804/triple/frame-99
80,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,92,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000230) needs to be non-negative\n\n,Error.GmxError,1.349,0.130214,run_6/f-603/ixs-745-747/single/frame-92
90,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,95,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000271) needs to be non-negative\n\n,Error.GmxError,1.298,0.127034,run_6/f-603/ixs-745-747/triple/frame-95
100,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,93,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000011) needs to be non-negative\n\n,Error.GmxError,1.706,0.13055,run_6/f-603/ixs-1466-1468/single/frame-93
110,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,100,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000276) needs to be non-negative\n\n,Error.GmxError,1.798,0.134151,run_6/f-603/ixs-1466-1468/triple/frame-100
120,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000050) needs to be non-negative\n\n,Error.GmxError,1.798,0.12757,run_6/f-603/ixs-881-883/single/frame-97
130,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000221) needs to be non-negative\n\n,Error.GmxError,1.747,0.1284,run_6/f-603/ixs-881-883/triple/frame-98
140,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,92,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000186) needs to be non-negative\n\n,Error.GmxError,1.498,0.12648,run_6/f-603/ixs-918-920/single/frame-92
150,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,triple,94,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000002) needs to be non-negative\n\n,Error.GmxError,1.798,0.135323,run_6/f-603/ixs-918-920/triple/frame-94
160,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,329,331,single,95,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000153) needs to be non-negative\n\n,Error.GmxError,1.135,0.125776,run_6/f-603/ixs-329-331/single/frame-95
170,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,329,331,triple,100,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000224) needs to be non-negative\n\n,Error.GmxError,1.498,0.133777,run_6/f-603/ixs-329-331/triple/frame-100
180,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1451,1453,single,91,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000011) needs to be non-negative\n\n,Error.GmxError,1.598,0.129038,run_6/f-603/ixs-1451-1453/single/frame-91
190,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,1451,1453,triple,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000261) needs to be non-negative\n\n,Error.GmxError,1.945,0.128732,run_6/f-603/ixs-1451-1453/triple/frame-97
200,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,866,868,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000026) needs to be non-negative\n\n,Error.GmxError,0.998,0.139959,run_6/f-603/ixs-866-868/single/frame-96
210,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,866,868,triple,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000073) needs to be non-negative\n\n,Error.GmxError,1.898,0.131805,run_6/f-603/ixs-866-868/triple/frame-97
221,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,214,216,single,98,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000097) needs to be non-negative\n\n,Error.GmxError,1.598,0.127587,run_6/f-603/ixs-214-216/single/frame-98
230,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,214,216,triple,93,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000165) needs to be non-negative\n\n,Error.GmxError,1.598,0.128139,run_6/f-603/ixs-214-216/triple/frame-93
240,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,228,230,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000182) needs to be non-negative\n\n,Error.GmxError,1.698,0.131948,run_6/f-603/ixs-228-230/single/frame-96
251,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,228,230,triple,97,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000267) needs to be non-negative\n\n,Error.GmxError,1.098,0.129667,run_6/f-603/ixs-228-230/triple/frame-97
